,longitude,latitude,avg_d_kbps,avg_u_kbps,avg_lat_ms,avg_lat_ms,devices
5394275,99.65972900390626,6.38354188487813,99397,77703,12,12,4
5394276,99.66522216796875,6.38354188487813,71801,51446,10,10,1
5394278,99.66522216796875,6.367164305608401,18114,14898,13,13,36
5394282,99.68170166015626,6.427212865570545,94440,44997,13,13,1
5394283,99.67071533203126,6.421754197511529,86968,113178,10,10,11
5394284,99.68170166015624,6.421754197511529,250340,128573,11,11,1
5394285,99.75311279296874,6.4053778423244445,105731,51808,10,10,1
5394292,99.75860595703124,6.416295470918229,312129,51754,10,10,1
5394293,99.76409912109376,6.416295470918229,288106,54410,11,11,2
5394294,99.75860595703124,6.410836685839561,251899,53952,15,15,1
5394295,99.75860595703125,6.4053778423244445,213496,58349,12,12,1
5394296,99.79705810546876,6.421754197511529,179826,69843,10,10,5
5394297,99.79156494140625,6.416295470918229,103770,43445,11,11,1
5394298,99.79705810546876,6.416295470918229,62764,58311,9,9,1
5394303,99.80255126953124,6.427212865570545,115747,39240,8,8,10
5394304,99.80804443359376,6.427212865570545,104008,51376,11,11,1
5394305,99.80255126953125,6.421754197511529,147048,45892,11,11,5
5394306,99.80804443359374,6.421754197511529,101061,52438,10,10,1
5394307,99.80255126953125,6.416295470918229,302165,84483,7,7,2
5394308,99.81903076171875,6.421754197511529,105561,41787,10,10,6
5394309,99.81903076171875,6.416295470918229,96115,47479,12,12,1
5394310,99.80255126953125,6.410836685839561,104704,52773,12,12,2
5394311,99.82452392578124,6.421754197511529,180462,69426,9,9,4
5394312,99.83001708984375,6.421754197511529,285247,50874,14,14,1
5394313,99.82452392578124,6.416295470918229,168356,46430,11,11,4
5394314,99.83551025390625,6.416295470918229,365483,80016,9,9,2
5394315,99.83001708984374,6.410836685839561,202062,138609,10,10,1
5394316,99.83551025390625,6.410836685839561,172403,29153,14,14,2
5394317,99.84100341796875,6.410836685839561,202439,64937,10,10,3
5394318,99.69818115234375,6.3890009616497245,90238,52278,9,9,1
5394319,99.70367431640625,6.3890009616497245,127866,64870,11,11,3
5394320,99.70916748046874,6.3890009616497245,309323,54980,10,10,1
5394321,99.67071533203126,6.37262355680853,162400,64486,8,8,5
5394322,99.68719482421875,6.37262355680853,145801,71281,9,9,2
5394323,99.67071533203125,6.367164305608401,11160,11224,10,10,1
5394324,99.68170166015625,6.367164305608401,67327,61557,18,18,11
5394325,99.68719482421876,6.367164305608401,150628,27121,31,31,1
5394326,99.70916748046874,6.367164305608401,76213,66713,10,10,1
5394327,99.70916748046875,6.36170499636332,320699,75567,10,10,4
5394328,99.72015380859375,6.3944599801806,91978,52773,39,39,1
5394329,99.72564697265625,6.3944599801806,311367,52466,10,10,2
5394330,99.74212646484374,6.3999189404218155,308328,50505,10,10,2
5394331,99.73663330078124,6.3944599801806,94471,58586,17,17,1
5394332,99.74212646484374,6.3944599801806,153074,37619,12,12,2
5394333,99.74761962890624,6.3999189404218155,42316,21632,12,12,1
5394334,99.75311279296876,6.3999189404218155,213755,40836,35,35,4
5394335,99.71466064453125,6.37262355680853,1511,2811,98,98,1
5394336,99.72564697265625,6.37262355680853,103965,53513,14,14,2
5394337,99.73114013671874,6.37262355680853,259304,94763,11,11,2
5394338,99.71466064453124,6.367164305608401,155204,61813,11,11,8
5394339,99.72015380859375,6.367164305608401,310980,94148,9,9,6
5394340,99.71466064453126,6.36170499636332,204872,115270,12,12,12
5394341,99.72564697265626,6.367164305608401,214624,65748,12,12,5
5394342,99.73114013671876,6.367164305608401,141771,53019,9,9,2
5394343,99.73114013671874,6.36170499636332,94843,53172,13,13,1
5394344,99.75311279296876,6.37262355680853,6152,3913,94,94,2
5394345,99.73663330078125,6.367164305608401,171177,68669,14,14,7
5394346,99.74212646484375,6.367164305608401,205110,54336,14,14,1
5394347,99.73663330078126,6.36170499636332,184290,48160,12,12,13
5394348,99.74212646484376,6.36170499636332,247048,79879,10,10,7
5394349,99.74761962890625,6.367164305608401,166477,81986,8,8,4
5394350,99.74761962890624,6.36170499636332,160689,77516,11,11,8
5394351,99.75311279296874,6.36170499636332,163853,70894,12,12,10
5394359,99.73114013671875,6.35624562912223,160923,61575,14,14,4
5394360,99.72564697265624,6.35078620393408,270011,135387,14,14,1
5394361,99.73114013671874,6.35078620393408,152337,70635,11,11,21
5394364,99.72564697265624,6.345326720847821,292205,79548,27,27,5
5394365,99.73114013671875,6.345326720847821,140632,46651,11,11,15
5394366,99.72564697265625,6.339867179912409,68738,68552,9,9,5
5394367,99.73114013671874,6.339867179912409,52679,35656,17,17,79
5394368,99.73663330078124,6.35624562912223,284416,52091,14,14,3
5394369,99.74212646484375,6.35624562912223,23191,39155,17,17,1
5394370,99.73663330078124,6.35078620393408,254228,74814,10,10,6
5394371,99.74212646484376,6.35078620393408,246535,73874,11,11,6
5394372,99.75311279296875,6.35624562912223,101733,55068,12,12,1
5394373,99.73663330078124,6.345326720847821,125546,71372,14,14,6
5394374,99.74212646484375,6.345326720847821,249656,67747,13,13,5
5394375,99.73663330078125,6.339867179912409,212844,49401,10,10,4
5394376,99.74212646484375,6.339867179912409,199438,61991,13,13,9
5394377,99.74761962890626,6.345326720847821,197085,87140,10,10,11
5394378,99.75311279296875,6.345326720847821,190291,59269,12,12,19
5394379,99.74761962890624,6.339867179912409,211757,162688,30,30,1
5394380,99.75311279296875,6.339867179912409,218697,59560,11,11,10
5394382,99.72564697265624,6.334407581176805,33712,39117,10,10,1
5394383,99.73114013671876,6.334407581176805,11741,2790,7,7,1
