SOVEREIGNT,avg_d_kbps,avg_u_kbps,avg_lat_ms
Liberia,35600.48031496063,15330.692913385827,69.40944881889764
Libya,20026.130722413338,8795.095527917438,34.82323365969833
Lithuania,143373.8774119386,20932.119057393873,26.555464323836112
Luxembourg,133721.48318042813,21896.649337410807,32.56371049949031
Madagascar,100764.72134387352,23561.179841897232,86.7094861660079
Malawi,26227.70588235294,14896.710084033613,42.91596638655462
Malaysia,133865.10826365935,21680.677620066108,35.71497180633871
Mali,35717.96460176991,13386.469026548673,58.7212389380531
Mauritania,21800.823677581862,10428.841309823678,42.2544080604534
Mexico,42249.32158647837,14841.581926384717,72.01856239389586
Moldova,44102.79424888448,14824.628656420426,26.832920178482894
Mongolia,22689.73673870334,11275.73575638507,36.946954813359525
Montenegro,69733.88602329452,19051.033277870218,28.64559068219634
Morocco,49605.66550062189,15338.462220149253,59.348958333333336
Mozambique,25570.20827943079,14467.054333764554,56.08408796895213
Myanmar,29198.792170818506,15146.603084223014,54.13013048635825
Namibia,24057.04914004914,11968.077395577395,44.92751842751843
Nepal,52302.07124010554,14001.963060686016,43.38733509234829
Netherlands,131725.11552910387,29031.182516567475,28.74741463002828
New Zealand,131595.20340788073,19498.45101171459,46.81611643592474
Nicaragua,24676.710588235295,12112.151596638656,36.012773109243696
Niger,15247.96062992126,11397.5,65.5
Nigeria,48741.62243411469,16810.97483776983,61.443120116540854
North Korea,170698.77272727274,22461.5,82.95454545454545
North Macedonia,104684.9369397218,23414.94312210201,27.168160741885625
Northern Cyprus,75123.88066825776,23256.286396181385,23.28400954653938
Norway,179805.15608303406,30839.05097661382,34.87904002802838
Oman,127380.85472747497,22188.31212458287,37.459621802002225
Pakistan,21691.311715921933,11449.45703012775,37.82681810346479
Panama,33108.97435897436,14790.238428238428,29.960705960705962
Papua New Guinea,23829.839726027396,12402.386301369863,137.24931506849316
Paraguay,31667.156960448458,10507.760822173777,44.4216754905014
Peru,28982.10395415473,14445.206017191977,41.69570200573066
Philippines,45322.821030377774,9740.866483779226,31.3727631943221
Poland,94403.39311842706,16754.402352283698,30.798303104201594
Portugal,123733.8212162497,19085.87001486252,33.45429774585088
Qatar,364742.7275,36623.891875,31.45125
Republic of Serbia,63314.8611361587,17532.73499649334,24.55996393146979
Republic of the Congo,39034.0,11626.752066115703,37.09090909090909
Romania,61928.56350409215,16196.975317195687,32.03364655956351
Russia,33679.67509023911,11057.583637898164,44.35904990844216
Rwanda,27852.51052631579,9873.636842105263,33.334210526315786
Saudi Arabia,153124.63529411764,22594.028152134033,39.57047817047817
Senegal,53983.677556818184,19020.19744318182,28.632102272727273
Sierra Leone,28072.556338028167,14271.232394366198,26.883802816901408
Slovakia,78980.50469373386,18924.881365876554,27.19525932879606
Slovenia,102872.52944,16542.9624,24.89184
Solomon Islands,21583.962962962964,7902.074074074074,84.88888888888889
Somalia,24176.74430379747,15109.984810126582,62.10886075949367
Somaliland,28012.060283687944,13592.099290780141,35.340425531914896
South Africa,76831.92645013906,14068.960419149782,32.573053237981725
South Korea,299721.22966544493,32527.721749980505,58.85713171644701
South Sudan,13285.446540880503,7106.088050314465,181.8490566037736
Spain,98869.85532341634,18178.293799097442,44.631088082901556
Sri Lanka,22134.326362668216,7855.8471294413785,29.91393164875593
Sudan,16568.31719745223,9133.049681528662,95.81910828025478
Suriname,55475.05590062112,18274.31055900621,27.512422360248447
Sweden,146761.84764275962,24192.47377720665,33.890370251385434
Switzerland,148665.6145417653,28124.010686506594,26.912411227595538
Syria,18350.840066539924,6920.662309885932,58.906606463878326
Taiwan,126021.03139947905,22049.437414160548,24.887236561686006
Tajikistan,20582.69077448747,9206.473804100227,43.80979498861048
Thailand,57687.43506607929,15383.09033773862,34.79965932452276
The Bahamas,49072.21428571428,15036.25,65.875
Togo,41890.79292035398,12252.332743362831,30.38053097345133
Trinidad and Tobago,36455.288235294116,13459.598039215687,63.19313725490196
Tunisia,31394.64221824687,16072.247891643241,29.01405571173013
Turkey,48722.893392095866,16872.017686369396,38.86176402811384
Turkmenistan,30991.67515923567,13169.957537154989,144.99787685774947
Uganda,56783.53712035996,18816.847581552305,42.07592800899887
Ukraine,31220.687597023712,13677.05168352872,36.717118997912316
United Arab Emirates,356523.07254047325,32263.860367372352,38.9637297633873
United Kingdom,94700.41212685035,13709.43359692086,40.58154340073513
United Republic of Tanzania,37107.19423240034,14064.276929601358,44.91051738761662
United States of America,215900.60684122625,18370.087939400175,38.9261202181467
Uruguay,110885.31548055759,16897.060895084374,32.864269992663246
Uzbekistan,43997.88813801876,14806.565193194467,32.476307839084114
Vanuatu,24015.941176470587,12983.823529411764,74.23529411764706
Venezuela,19411.48091954023,8154.100996168582,58.60582375478927
Vietnam,57756.10926195364,24836.295019233454,30.12716002630897
Yemen,12115.957887223412,7123.190578158458,59.00785153461813
Zambia,35460.93966282165,12996.543921916593,68.95208518189885
Zimbabwe,44056.66604010025,16769.147869674187,44.73370927318296
eSwatini,33599.524590163935,18094.08524590164,40.072131147540986
