SOVEREIGNT,avg_d_kbps,avg_u_kbps,avg_lat_ms
Liberia,75259.0,33909.333333333336,79.0
Libya,23328.74193548387,14030.370967741936,52.88709677419355
Lithuania,145866.28,102383.62666666666,15.106666666666667
Luxembourg,179318.0,112934.52,13.0
Madagascar,45431.857142857145,46098.857142857145,19.571428571428573
Malawi,57057.8,8176.0,251.6
Malaysia,174169.33333333334,74688.17886178862,12.937669376693767
Mali,26352.666666666668,3168.6666666666665,28.5
Mauritania,60493.75,13165.75,59.0
Mexico,57946.73775216138,35440.10446685879,36.069164265129686
Moldova,134929.925,130419.525,8.1
Mongolia,73413.47826086957,24648.82608695652,51.608695652173914
Montenegro,111486.0,21765.882352941175,8.647058823529411
Morocco,39365.28571428572,33229.07738095238,50.68452380952381
Mozambique,33822.52631578947,9699.421052631578,152.47368421052633
Myanmar,35853.06060606061,29261.901515151516,19.87878787878788
Namibia,13015.894736842105,8402.526315789473,74.47368421052632
Nepal,69916.12598425196,61691.31496062992,15.15748031496063
Netherlands,210245.94736842104,135482.0955165692,13.94541910331384
New Zealand,166177.88324873097,83357.78680203046,25.79187817258883
Nicaragua,48801.096774193546,18980.83870967742,12.0
Niger,39192.166666666664,7089.166666666667,65.5
Nigeria,34676.92105263158,13946.473684210527,76.73684210526316
North Korea,,,
North Macedonia,36663.60526315789,21569.236842105263,33.44736842105263
Northern Cyprus,19046.5625,6529.0,19.1875
Norway,180094.39386792452,157509.50471698114,15.316037735849056
Oman,70934.84353741497,34508.84353741496,31.571428571428573
Pakistan,13558.404471544716,12947.68699186992,32.7479674796748
Panama,167276.64705882352,69903.79411764706,18.08823529411765
Papua New Guinea,91835.5,10100.5,43.0
Paraguay,84175.46739130435,37569.532608695656,18.369565217391305
Peru,109463.38764044944,95057.44382022473,24.05056179775281
Philippines,92331.2062780269,88158.30493273542,22.80269058295964
Poland,163536.81992337166,70464.46232439336,16.362707535121327
Portugal,191369.88413098236,97101.040302267,12.848866498740554
Qatar,282432.1176470588,200581.17647058822,10.529411764705882
Republic of Serbia,66971.9,32131.7,15.633333333333333
Republic of the Congo,47765.666666666664,9964.666666666666,5.333333333333333
Romania,183722.12974683545,148111.20253164557,10.009493670886076
Russia,96424.72125567323,95983.60968229955,15.736384266263238
Rwanda,43966.22222222222,16212.333333333334,34.44444444444444
Saudi Arabia,104698.41904761904,36134.08095238095,45.94761904761905
Senegal,24803.8125,5999.9375,15.0625
Sierra Leone,151144.0,9208.0,191.0
Slovakia,129240.265625,61385.5,14.677083333333334
Slovenia,103957.27058823529,52281.035294117646,13.447058823529412
Solomon Islands,,,
Somalia,55868.5,33278.5,137.0
Somaliland,7809.0,6216.0,32.333333333333336
South Africa,41101.73569482289,30833.803814713898,50.155313351498634
South Korea,228647.89677419353,171232.69677419355,19.92258064516129
South Sudan,1214.0,1126.0,169.0
Spain,210619.061682243,184580.36448598132,24.25981308411215
Sri Lanka,33858.13173652695,19951.898203592813,30.035928143712574
Sudan,49298.25,10738.25,154.25
Suriname,21551.2,6222.8,40.6
Sweden,158098.40666666668,129995.23,17.21
Switzerland,225937.6653846154,118182.91923076923,13.753846153846155
Syria,10370.556818181818,11699.170454545454,30.647727272727273
Taiwan,161193.40291262136,103960.29126213593,10.606796116504855
Tajikistan,40954.4,29254.0,7.0
Thailand,247506.4661016949,208389.43220338982,10.178907721280602
The Bahamas,7485.0,772.0,40.0
Togo,27076.61111111111,10847.388888888889,36.72222222222222
Trinidad and Tobago,168403.66666666666,107234.36363636363,17.303030303030305
